Id;Language;LongDescription;Name;ProductId;ShortDescription
700000000;EN;Notebook Basic 15 with 2,80 GHz quad core, 15" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro;Notebook Basic 15;HT-1000;Notebook Basic 15 with 2,80 GHz quad core, 15" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro
700000001;EN;Notebook Basic 17 with 2,80 GHz quad core, 17" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro;Notebook Basic 17;HT-1001;Notebook Basic 17 with 2,80 GHz quad core, 17" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro
700000002;EN;Notebook Basic 18 with 2,80 GHz quad core, 18" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro;Notebook Basic 18;HT-1002;Notebook Basic 18 with 2,80 GHz quad core, 18" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro
700000003;EN;Notebook Basic 19 with 2,80 GHz quad core, 19" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro;Notebook Basic 19;HT-1003;Notebook Basic 19 with 2,80 GHz quad core, 19" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro
700000004;EN;Digital Organizer with State-of-the-Art Storage Encryption;ITelO Vault;HT-1007;Digital Organizer with State-of-the-Art Storage Encryption
700000005;EN;Notebook Professional 15 with 2,80 GHz quad core, 15" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro;Notebook Professional 15;HT-1010;Notebook Professional 15 with 2,80 GHz quad core, 15" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro
700000006;EN;Notebook Professional 17 with 2,80 GHz quad core, 17" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro;Notebook Professional 17;HT-1011;Notebook Professional 17 with 2,80 GHz quad core, 17" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro
700000007;EN;Digital Organizer with State-of-the-Art Encryption for Storage and Network Communications;ITelO Vault Net;HT-1020;Digital Organizer with State-of-the-Art Encryption for Storage and Network Communications
700000008;EN;Digital Organizer with State-of-the-Art Encryption for Storage and Secure Stellite Link;ITelO Vault SAT;HT-1021;Digital Organizer with State-of-the-Art Encryption for Storage and Secure Stellite Link
700000009;EN;32 GB Digital Assistant with high-resolution color screen;Comfort Easy;HT-1022;32 GB Digital Assistant with high-resolution color screen
